piano_tariff,metodo_pagamento,sesso,etacl,zona_attivaz,canale_attivaz,vas1,vas2,q01_out_ch_peak,q01_out_dur_peak,q01_out_val_peak,q01_out_dur_offpeak,q01_out_val_offpeak,q01_in_ch_tot,q01_in_dur_tot,q01_ch_sms,q09_out_ch_peak,q09_out_dur_peak,q09_out_val_peak,q09_out_dur_offpeak,q09_out_val_offpeak,q09_in_ch_tot,q09_in_dur_tot,q09_ch_sms,test
8,3,1,34.75,3,5,2,1,57,3259,21.8358,5252,29.8708,60,4175,0,148,16707,86.3769,0,0,120,10764,1,0
8,2,3,23.67,3,5,1,1,0,0,0,0,0,0,0,0,16,1387,8.7586,0,0,39,3949,0,0
8,2,2,17.08,1,9,2,1,0,0,0,0,0,0,0,0,17,758,4.6874,0,0,11,805,0,0
8,3,1,44.13,2,5,2,1,33,1707,10.9236,372,1.5649,8,727,0,18,1187,7.6988,0,0,7,658,0,0
7,2,3,18.65,3,9,1,1,0,0,0,0,0,0,0,0,10,863,3.9659,0,0,25,7832,0,0
8,3,1,43.5,1,5,2,1,43,5876.32599,18.9674,251,1.0515,28,2350,0,54,6251,15.4142,387,1.4151,15,1051,0,0
7,2,3,30.98,1,5,1,2,37,4273,80.1784,5622,167.0237,48,3029,0,8,698,5.8308,0,0,23,480,0,0
7,3,1,28.95,1,5,1,1,47,2773,16.0572,227,0.9895,11,328,0,124,10404,48.0584,0,0,77,6482,0,0
7,1,2,21.9,4,9,1,1,0,0,0,0,0,0,0,0,273,44498,332.4846,111716,343.874,344,25384,94,0
8,3,2,29.7,3,5,1,1,0,0,0,0,0,0,0,0,37,2740,17.8586,0,0,59,3723,0,0
6,1,1,29.96,2,5,1,1,132,9341,45.176,0,0,62,5515,0,3,74,0.5614,0,0,8,307,0,0
7,2,3,41.27,4,3,2,1,52,2953,16.3903,0,0,42,2466,2,22,1365,6.7899,0,0,43,2480,0,0
4,3,2,43.83,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,3,47.63,2,3,2,1,0,0,0,0,0,0,0,0,148,14657,58.9752,0,0,1,165,0,0
8,2,1,28.68,3,5,1,1,27,2675,22.6864,0,0,12,582,0,75,8688,52.2582,0,0,49,2825,0,0
7,2,3,30.13,2,3,1,2,0,0,0,0,0,0,0,0,105,18364,52.298,0,0,3,563,78,0
8,2,3,43.11,4,5,1,1,34,1657,26.2587,65009,142.1878,121,21437,11,162,18327,84.6695,22029,43.3034,55,3482,3,0
7,2,1,36.06,1,2,1,1,68,6710,41.8898,1426,5.5865,55,8954,0,119,14565,61.7894,0,0,101,12089,13,0
7,2,3,41.08,1,5,2,1,163.369155,12027,56.5727,0,0,193,18219,5,188,12512,59.14,0,0,182,15113,6,0
7,2,3,38.42,2,5,1,1,249,38804.0451,284.1887,0,0,215,12688,0,447,62942,259.9663,0,0,213,25649,0,0
3,2,1,35.63,4,5,1,1,80,3590,25.8482,3320,11.8455,29,1124,0,157,15646,92.2299,7944,26.6895,41,4152,0,0
7,2,2,22.78,3,5,1,1,0,0,0,0,0,0,0,0,846,92887,402.4175,0,0,634,51579,0,0
7,1,3,42.13,3,3,2,1,231,13276,80.4423,2917,14.3306,300,13066,0,73,3505,19.4518,0,0,100,4790,0,0
7,2,1,28.03,3,5,1,2,0,0,0,0,0,0,0,0,728,70905,300.3858,0,0,531,49312,0,0
7,3,1,26.68,2,5,1,1,160,10340,51.6674,0,0,135,8910,0,199,14835,70.7608,0,0,170,15141,0,0
8,3,3,24.13,3,5,1,1,0,0,0,0,0,0,0,0,2,78,0.6063,0,0,53,4274,0,0
8,2,3,19.47,1,9,1,1,0,0,0,0,0,0,0,0,6,112,1.1946,0,0,1,37,0,0
7,2,2,29.44,2,5,1,2,215,17633,97.2514,9938,33.8243,251,13228,0,589,56094,251.1597,0,0,185,22644,0,0
7,2,1,45.86,4,5,2,1,0,0,0,0,0,0,0,0,13,1066,4.9652,0,0,7,1016,7,0
8,2,3,52.59,1,5,1,1,-23.411409,605,5.5875,403,2.3602,29,2870,0,30,4308,25.1695,0,0,32,3996,0,0
7,1,3,29.63,2,5,2,1,0,0,0,0,0,0,0,0,205,34652,112.2364,0,0,123,6632,0,0
7,3,3,15.47,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,3,26.98,2,5,1,1,10,457,3.2712,0,0,56,6523,0,24,3085,18.2841,0,0,9,600,0,0
8,1,1,18,3,5,1,1,0,0,0,0,0,0,0,0,29,1661,11.5072,0,0,60,3815,0,0
3,2,1,42.72,1,5,1,1,3,396,2.2363,320,1.1228,3,227,0,2,42,0.4111,0,0,1,8,0,0
8,3,3,46.42,1,5,1,1,5,93,1.1532,191,1.2627,8,270,0,20,839,6.3638,0,0,18,581,0,0
8,2,2,41.08,1,5,2,1,32,979,8.0691,896,4.9637,71,4009,0,167,30416,130.0588,0,0,132,29780,0,0
8,2,3,21.86,2,9,1,1,0,0,0,0,0,0,0,0,23,1431,9.7073,0,0,57,6264,1,0
7,2,3,37.4,2,5,2,1,54,4399,32.0079,6289,19.725,235,18560,0,75,11052,85.8196,31577,119.9621,192,21369,0,0
7,2,2,21.18,3,5,1,1,0,0,0,0,0,0,0,0,101,9849,43.9045,0,0,129,9721,0,0
8,2,3,24.42,1,5,1,1,0,0,0,0,0,0,0,0,6,929,5.3794,0,0,140,14387,0,0
